time;SSE;E;S;W;SSW;EW
20210123:1310;265.34;97.19;301.36;207.27;310.12;152.23
20210123:1410;318.61;38.99;430.79;336.59;483.93;187.79
20210123:1510;85.39;24.88;148.83;157.29;188.92;91.085
20210123:1610;0;0;0;0;0;0
20210123:1710;0;0;0;0;0;0
20210123:1810;0;0;0;0;0;0
20210123:1910;0;0;0;0;0;0
20210123:2010;0;0;0;0;0;0
20210123:2110;0;0;0;0;0;0
20210123:2210;0;0;0;0;0;0
20210123:2310;0;0;0;0;0;0
20210124:0010;0;0;0;0;0;0
20210124:0110;0;0;0;0;0;0
20210124:0210;0;0;0;0;0;0
20210124:0310;0;0;0;0;0;0
20210124:0410;0;0;0;0;0;0
20210124:0510;0;0;0;0;0;0
20210124:0610;0;0;0;0;0;0
20210124:0710;0;0;0;0;0;0
20210124:0810;185.67;161.44;134.29;14.71;58.52;88.075
20210124:0910;79.76;72.24;75.87;51.68;68.73;61.96
20210124:1010;201.27;155.86;194.58;96.1;174.72;125.98
20210124:1110;388.94;223.58;393.05;148.53;360.94;186.055
20210124:1210;370.87;168.71;396.51;210.37;386.17;189.54
20210124:1310;54.4;54.4;54.4;54.4;54.4;54.4
20210124:1410;231.4;64.05;300.71;242.57;334.42;153.31
20210124:1510;34.41;24.54;42.7;43.85;48.05;34.195
20210124:1610;0;0;0;0;0;0
20210124:1710;0;0;0;0;0;0
20210124:1810;0;0;0;0;0;0
20210124:1910;0;0;0;0;0;0
20210124:2010;0;0;0;0;0;0
20210124:2110;0;0;0;0;0;0
20210124:2210;0;0;0;0;0;0
20210124:2310;0;0;0;0;0;0
20210125:0010;0;0;0;0;0;0
20210125:0110;0;0;0;0;0;0
20210125:0210;0;0;0;0;0;0
20210125:0310;0;0;0;0;0;0
20210125:0410;0;0;0;0;0;0
20210125:0510;0;0;0;0;0;0
20210125:0610;0;0;0;0;0;0
20210125:0710;0;0;0;0;0;0
20210125:0810;19.68;18.87;17.93;12.67;15.38;15.77
20210125:0910;26.7;26.7;26.7;24.65;26.7;25.675
20210125:1010;19.74;19.74;19.74;19.74;19.74;19.74
20210125:1110;33.87;33.87;33.87;33.87;33.87;33.87
20210125:1210;178.04;133.1;183.97;142.08;181.55;137.59
20210125:1310;36.18;36.18;36.18;36.18;36.18;36.18
20210125:1410;136.33;72.1;162.1;140.53;174.88;106.315
20210125:1510;34.18;24.53;42.15;43.29;47.29;33.91
20210125:1610;0;0;0;0;0;0
20210125:1710;0;0;0;0;0;0
20210125:1810;0;0;0;0;0;0
20210125:1910;0;0;0;0;0;0
20210125:2010;0;0;0;0;0;0
20210125:2110;0;0;0;0;0;0
20210125:2210;0;0;0;0;0;0
20210125:2310;0;0;0;0;0;0
20210126:0010;0;0;0;0;0;0
20210126:0110;0;0;0;0;0;0
20210126:0210;0;0;0;0;0;0
20210126:0310;0;0;0;0;0;0
20210126:0410;0;0;0;0;0;0
20210126:0510;0;0;0;0;0;0
20210126:0610;0;0;0;0;0;0
20210126:0710;0;0;0;0;0;0
20210126:0810;1.78;1.78;1.78;1.5;1.78;1.64
